city,brand,model,price,year,mileage,body_type,colour,transmission,drive,owners_num,doc_unique,engine_type,volume,horsepower
1,1,3,549000.0,2017,123000.0,4,1,1,0,2,1,0,1.6,123.0
1,1,3,850000.0,2019,10352.0,1,12,1,0,1,1,0,1.6,123.0
1,1,3,595000.0,2017,69120.0,4,10,0,0,1,1,0,1.4,107.0
1,1,3,610000.0,2017,58736.0,4,14,0,0,1,1,0,1.4,107.0
1,1,3,499000.0,2014,99000.0,1,1,1,0,2,1,0,1.6,123.0
1,1,3,760000.0,2018,32000.0,1,14,0,0,2,1,0,1.6,123.0
1,1,3,595000.0,2016,51158.0,1,1,0,0,1,1,0,1.4,107.0
1,1,3,700000.0,2017,49000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,580000.0,2017,116000.0,1,1,0,0,2,1,0,1.6,123.0
1,1,3,790000.0,2019,12300.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,390000.0,2013,138000.0,1,7,0,0,3,1,0,1.6,123.0
1,1,3,570000.0,2014,117000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,395000.0,2013,126000.0,1,14,1,0,3,1,0,1.6,123.0
1,1,3,440000.0,2011,155000.0,1,7,1,0,2,1,0,1.6,112.0
1,1,3,485000.0,2014,160000.0,1,1,0,0,3,1,0,1.6,123.0
1,1,3,390000.0,2012,150000.0,1,1,1,0,3,1,0,1.6,123.0
1,1,3,520000.0,2015,98000.0,1,14,1,0,2,1,0,1.6,123.0
1,1,3,765000.0,2017,38669.0,4,12,0,0,1,1,0,1.4,100.0
1,1,3,290000.0,2010,104000.0,4,11,1,0,3,0,0,1.4,95.0
1,1,3,425000.0,2014,128000.0,1,1,0,0,3,1,0,1.4,107.0
1,1,3,480000.0,2013,132135.0,1,12,1,0,1,1,0,1.6,123.0
1,1,3,390000.0,2012,144000.0,1,4,1,0,2,1,0,1.4,107.0
1,1,3,800000.0,2019,33000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,390000.0,2010,92000.0,1,7,0,0,3,0,0,1.4,97.0
1,1,3,465000.0,2012,87000.0,1,14,1,0,1,1,0,1.6,123.0
1,1,3,850000.0,2018,11000.0,1,6,1,0,2,1,0,1.6,123.0
1,1,3,745000.0,2019,19100.0,1,14,0,0,2,1,0,1.6,123.0
1,1,3,535000.0,2014,156000.0,1,14,1,0,1,1,0,1.4,107.0
1,1,3,530000.0,2015,135000.0,1,12,0,0,2,1,0,1.6,123.0
1,1,3,596000.0,2017,59326.0,4,14,0,0,1,1,0,1.4,107.0
1,1,3,145000.0,2005,200000.0,2,13,1,0,3,0,0,1.5,97.0
1,1,3,555000.0,2016,59500.0,1,14,0,0,3,1,0,1.6,123.0
1,1,3,270000.0,2010,186000.0,1,10,0,0,3,1,0,1.4,95.0
1,1,3,365000.0,2014,89750.0,1,14,1,0,3,1,0,1.6,123.0
1,1,3,800000.0,2019,24000.0,1,11,0,0,2,1,0,1.6,123.0
1,1,3,675000.0,2016,40000.0,1,10,1,0,1,1,0,1.6,123.0
1,1,3,490000.0,2013,146000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,560000.0,2015,48600.0,1,10,0,0,3,1,0,1.4,107.0
1,1,3,840000.0,2018,25000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,745000.0,2018,59000.0,4,11,1,0,1,1,0,1.6,123.0
