city,brand,model,price,year,mileage,body_type,colour,annual_car_tax,transmission,drive,hand_drive,owners_num,doc_unique,engine_type,volume,horsepower
kazan,kia,rio,815000.0,2018,11550.0,седан,чёрный,3690.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,800000.0,2018,31600.0,хэтчбек 5 дв.,серебристый,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,575000.0,2016,53000.0,седан,белый,4059.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,330000.0,2011,89000.0,седан,серый,950.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,95.0
kazan,kia,rio,277777.0,2010,98000.0,седан,синий,950.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,95.0
kazan,kia,rio,890000.0,2019,6000.0,хэтчбек 5 дв.,чёрный,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,620000.0,2017,55000.0,седан,чёрный,1000.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,630000.0,2016,40600.0,седан,коричневый,3444.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,615000.0,2016,73100.0,седан,белый,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,560000.0,2015,83100.0,седан,серебристый,3690.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,563000.0,2015,58000.0,седан,белый,1605.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,720000.0,2017,36000.0,хэтчбек 5 дв.,белый,3444.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,480000.0,2014,76000.0,седан,чёрный,3103.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,825000.0,2019,18133.0,седан,белый,1000.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,420000.0,2014,82000.0,седан,белый,3745.0,механическая,передний,Левый,2,Дубликат,Бензин,1.4,107.0
kazan,kia,rio,440000.0,2012,161000.0,седан,зелёный,3690.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,430000.0,2012,110000.0,седан,серый,4059.0,механическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,700000.0,2017,63500.0,седан,синий,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,500000.0,2015,58000.0,хэтчбек 5 дв.,чёрный,2568.0,механическая,передний,Левый,2,Дубликат,Бензин,1.4,107.0
kazan,kia,rio,250000.0,2007,229000.0,хэтчбек 5 дв.,чёрный,970.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,97.0
kazan,kia,rio,489000.0,2013,95000.0,седан,белый,3745.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,595000.0,2015,46000.0,седан,белый,4305.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,600000.0,2016,60796.0,седан,белый,4305.0,механическая,передний,Левый,2,Дубликат,Бензин,1.6,123.0
kazan,kia,rio,650000.0,2016,56000.0,седан,коричневый,3567.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,420000.0,2014,270000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,470000.0,2013,160000.0,седан,красный,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,590000.0,2016,140000.0,седан,коричневый,4059.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,570000.0,2016,48700.0,седан,белый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,920000.0,2017,14000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,950000.0,2018,10.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Растаможен,Бензин,1.6,123.0
kazan,kia,rio,549000.0,2017,123000.0,хэтчбек 5 дв.,белый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,850000.0,2019,10352.0,седан,синий,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,595000.0,2017,69120.0,хэтчбек 5 дв.,серебристый,2568.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,610000.0,2017,58736.0,хэтчбек 5 дв.,чёрный,2568.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,499000.0,2014,99000.0,седан,белый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,760000.0,2018,32000.0,седан,чёрный,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,595000.0,2016,51158.0,седан,белый,3745.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,700000.0,2017,49000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,580000.0,2017,116000.0,седан,белый,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
